Empresa	Ubicación (Ciudad, Estado)	Correo Electrónico	Teléfono	Fax
CRIS-P PRODUCE CO.	Nogales, Arizona	ricardo_crisantes@cris-p.com	520-281-9233	520-281-4366
CRITCHER BROS. PROD.	Deep Gap, Carolina del Norte	johnc@critcherbrothers.com	828-364-2669	828-264-1255
CROSS CREEK TRADING	Central Point, Oregón	scottfowler@ccountry.net	541-773-3700	541-773-7787
CROWN GLOBAL CORPORATION	Key Biscayne, Florida	rlima@ugpb.com	305-365-7811	305-365-7688
CROWN HARVEST PRODUCE	Plant City, Florida	jeff@crownharvestproduce.com	813-754-7554	813-752-8352
CROWN JEWELS MARKETING	Fresno, California	robbie@crownjewelsmarketing.com	559-438-2335	559-438-2341
CROWN JEWELS OF NEW ENGLAND	Fresno, California	sara@crownjewelsmarketing.com	559-348-2335	559-438-2341
CROWN ORCHARD COMPANY	Batesville, Virginia	henry@crownorchard.com	434-977-0619	434-979-6277
CROWN PACIFIC INTERNATIONAL	N/A	crown_pacific@yahoo.com	808-935-1550	808-935-1330
CROWN PACKING CO.	Salinas, California	N/A	N/A	N/A
CROWN PICKIN' PRODUCE	Thomasville, Georgia	davidproducenow@aol.com	941-916-4546	229-236-5488
CRUM, BOB CO., THE	Valrico, Florida	judyotb@earthlink.net	813-689-7497	813-681-5821
CRYSTAL VALLEY FOODS	Miami, Florida	vanna@crystalvalleyfoods.com	305-591-6567	305-592-9803
CULINARY SPECIALTY	Mountainside, Nueva Jersey	lisa@culinaryproduce.com	908-789-4700	908-789-4702
CULOTTA DISTRIBUTING	Camarillo, California	jm.culotta@yahoo.com	805-383-1690	805-383-1693
CUPP'S PRODUCE, LLC.	Stevensville, Michigan	cuppsproduce@sbcglobal.net	269-925-2354	269-925-3360
CURRY & CO., INC.	Brooks, Oregón	robert@curryandco.com	503-393-6033	503-393-6085
CURTIS PRODUCE EXCHANGE	Lakeland, Florida	curtisea@aol.com	863-619-8971	863-619-6809
CURTIS, TOM, BROKERAGE	Filadelfia, Pensilvania	tom@tomcurtisbrokerage.com	215-336-1370	215-226-7749
CUSTOM-PAK, INC.	Immokalee, Florida	N/A	239-657-4421	239-657-9704
CUSTOM PRODUCE SALES	Kingsburg, California	JaniceC@customproducesales.com	559-595-6000	559-646-1030
CUTLER, MICHAEL, CO.	Olyphant, Pensilvania	onions@michaelcutlerco.com	570-586-5600	570-586-5858
D & F PRODUCE	Williamstown, Nueva Jersey	dfproduce@comcast.net	856-740-5172	856-740-5173
D & M PRODUCE, INC	Immokalee, Florida	N/A	239-657-3781	239-657-4240
D & M PRODUCE, INC.	Immokalee, Florida	N/A	704-276-2390	704-276-3993
D & T BROKERAGE, INC.	Plano, Texas	N/A	972-816-5751	972-578-6672
DL & B ENTERPRISES	Clinton, Carolina del Norte	N/A	910-533-3104	910-533-2000
D L F INTERNATIONAL, INC.	Vero Beach, Florida	sales@dlfintl.com	772-778-2550	772-778-2493
D Q P IMPORT/GLOBAL	Marble Falls, Texas	gqpoam@yahoo.com	830-598-4748	512-597-2969
D'ANGELO, BENNY, PRODUCE	Saint-Rémi, Quebec, Canadá	bennydangleo@smypatico.ca	450-454-0982	450-454-5722
D’ARRIGO BROS. CO.	Salinas, California	cameral@darrigo.com	831-753-5425	831-424-5780
DAHM MARKETING, LLC	Reno, Nevada	dahmmarketing@yahoo.com	775-852-3399	775-853-3369
DALENA FARMS, INC.	Madera, California	dalenafarm@aol.com	559-266-4945	559-645-1803
DALTON FARMS	Boyd, Texas	dalton_farms@yahoo.com	940-433-2154	940-433-5197
DAMON DISTRIBUTING	Rio Rico, Arizona	mdamon@damonveg.com	520-761-3055	520-761-4353
DANDREA PRODUCE	Landisville, Nueva Jersey	frank@dandreaproduce.com	856-697-1840	856-697-9495
DANNA & FISHER, LLC.	Blythe, California	mcarrage@fisherranch.com	760-922-7138	760-922-3080
DANNY'S MELON SHED	Cordele, Georgia	N/A	229-273-2036	317-637-3986
DASH PRODUCE CO.	Mansfield, Texas	mary@dashproduce.com	817-903-2700	817-453-3759
DAVALAN SALES, INC.	Los Ángeles, California	specialty@davalansales.com	213-623-2500	213-426-3215
DAVE'S SPECIALTY IMPORTS	Miami, Florida	dsidaves@aol.com	954-753-8536	954-346-7536
DAVID DEL CURTO S.A.	Santiago, Chile	daviddelcurto@ddc.cl	56-2-3622701	56-2-3622777
DAVID DISTRIBUTING	McAllen, Texas	N/A	956-687-7747	956-687-2554
DAVIS COMPANY, THE	Mission, Texas	N/A	956-387-0019	956-387-0038
DAVIS, WILLSON, COMPANY	San Antonio, Texas	swilliams@willsondavis.com	210-226-2334	210-222-2353
DAYKA & HACKETT, LLC.	Reedley, California	timd@daykahackett.com	559-643-8089	559-6438037
DAYOUB MARKETING	Fredonia, Nueva York	dayoubinc@hotmail.com	716-366-7093	716-366-8912
DDC PRODUCE SALES	San Juan, Texas	damdavis@aol.com	956-387-0019	956-387-0038
DE BERRY, DAVID K. INC.	McAllen, Texas	deberry61@aol.com	956-380-3383	956-380-3382
DE CHENE CORPORATION	Big Lake, Minnesota	N/A	763-263-2714	763-263-3696
DEARDORFF FAMILY FARMS	Oxnard, California	info@deardorfffamilyfarms.com	805-486-8302	805-486-8304
DEBRUYN PRODUCE CO.	Zeeland, Michigan	bob@debruynproduce.com	616-772-3090	616-772-3083
DeCA	Fort Lee, Virginia	N/A	N/A	N/A
DEFENSE SUPPLY CTR.	Filadelfia, Pensilvania	jane.boyle@dla.mil	215-737-5573	215-737-7163
DEL CAMPO FRESH	Immokalee, Florida	delcampo@friendlynet.com	419-443-9864	863-675-4406
DEL CAMPO SUPREME, INC.	Rio Rico, Arizona	plopez@delcampo.com.mx	520-281-4733	520-281-4345
DEL GATO PRODUCE	Phoenix, Arizona	N/A	623-764-1302	623-936-3453
DEL MAR FARMS	Westley, California	brian@delmarfrms.com	209-894-5555	209-894-5556
DEL MONTE FRESH PRODUCE	Coral Gables, Florida	twhite@freshdelmonte.com	305-520-8400	605-520-8498
DEL REY AVOCADO CO.	Fallbrook, California	bobl@delreyavocado.com	760-728-8325	760-728-9501
DEL SUR FRESH PRODUCE	Los Ángeles, California	delsurfresh@blackberry.net	213-623-2351	213-623-1598
DELANO FARMS COMP.	Delano, California	delfarm@delanofarmsco.com	661-721-1485	661-721-2466
DELEON FARMS, INC.	Homestead, Florida	srdeleono1@aol.com	305-248-3975	305-248-3915
DELFINO MARKETING	Plant City, Florida	ray@delfinomarketing.com	813-759-2820	813-759-2620
DELHI FARMERS COOP.	Sayre, Oklahoma	N/A	N/A	N/A
DELICIOUS FOODS, LLC	Fowler, California	mpereira@sunsweet.com	559-445-8601	559-445-5378
DELK, JIMMY, PRODUCE	Pompano Beach, Florida	delkproduce.jdp@comcast.net	954-946-5677	954-946-7208
DELMAR FARMS	Westley, California	jon@delmarfarms.com	209-894-5555	209-894-5556
DELTA FRESH	Elsa, Texas	roygarciaproduce@yahoo.com	800-228-9853	956-262-8742
DELTA FRESH	Jonesboro, Arkansas	pteague@deltafresh.com	870-932-0578	870-932-1982
DELTA FRESH, LLC	Nogales, Arizona	david@deltafreshproduce.com	520-281-4444	520-281-3456
DELTA PACKING CO. OF LODI	Lodi, California	celkins@deltapacking.com	209-334-1023	209-334-0811
DELTA PRODUCE	San Antonio, Texas	kedwards@deltaproduce.com	210-226-9966	210-226-1999
DENICE & FILICE, LLC	Hollister, California	Cameron@denicefilice.com	831-637-7491	831-637-4174
DEOUDES, JIMMIE P., INC.	Salinas, California	N/A	831-659-4640	831-659-9410
DESERT FRESH, INC.	Coachella, California	grapes@desertfresh.com	760-398-0878	760-398-2869
DESERT GLORY LTD.	San Antonio, Texas	info@naturesweettomatoes.com	800-767-6789	210-509-6910
DESERT SPRING PRODUCE	Arrey, Nuevo México	N/A	575-267-4808	575-267-4818
DEVIK INT'L. INC.	White Plains, Nueva York	devikintl@aol.com	914-347-1666	914-347-1605
DEVOY MARKETING	Bakersfield, California	mendecko@aol.com	661-326-1161	661-326-0458
DFI GOLD RUSH, LLC	Fresno, California	dfigoldrush@dfigoldrush.net	559-446-2400	559-446-2414
DI CIOCCO FARMS SALES	Leamington, Ontario, Canadá	diciocco@mnsi.net	519-326-2339	519-326-3627
DIABLO DISTRIBUTING	San Ramón, California	parksea@sbcglobal.net	925-743-0500	925-743-0551
DIAM DISTRIBUTORS	San Rafael, California	stuart@diamdistributors.com	415-457-6300	415-457-6350
DIAMOND B FARMS, INC.	Plant City, Florida	diamondbfarms@verizon.net	813-752-5500	813-757-0378
DIAMOND BLUEBERRY, INC.	Mannonton, Nueva Jersey	tweth@verizon.net	609-561-3661	609-567-4423
DIAMOND FRUIT & VEG.	Nogales, Arizona	diamondfv@theriver.com	520-281-0445	520-281-0179
DIAMOND HILL FARMS	Alliance, Nebraska	mdavis@diamondhillfarms.com	308-762-7467	308-762-3204
DIAMOND PRODUCE	Salinas, California	sales@diamondproduce.com	831-758-3758	831-758-6278
DIAZTECA COMPANY	Rio Rico, Arizona	ldiaz@diazteca.com	520-281-4281	520-281-1024
DICKINSON FROZEN FOODS	N/A	tburnett@dickinsonfrozenfoods.com	208-452-5200	208-452-5365
DICKERSON, W.M., COMPANY	South San Francisco, California	N/A	650-266-9932	650-266-9947
DICKEY FARMS, INC.	Musella, Georgia	rdickey@dickeyfarms.com	478-836-3136	478-836-2966
DIETZ, MATT, CO., LTD.	Laredo, Texas	dietz3@msn.com	956-723-9178	956-723-0167
DIMARE BROTHERS	Chelsea, Massachusetts	dimare.newengland@verizon.net	617-889-3800	617-889-2067
DIMARE COMPANY	Indio, California	cmuratore@dimare-ca.com	760-347-3336	760-347-0858
DIMARE FRESH	Arlington, Texas	accountspayable@dimarefresh.com	817-385-3181	817-385-3015
DIMARE HOMESTEAD	Homestead, Florida	homestead@dimarefresh.com	305-245-4211	305-245-5346
DIMARE RUSKIN, INC.	Ruskin, Florida	ruskin@dimarefresh.com	813-645-3241	813-645-4846
DIRECT ADVANTAGE, LLC.	Columbia, Carolina del Sur	russell@directadvantagellc.com	803-788-9340	803-788-9345
DIRECT PRODUCE, INC.	Los Ángeles, California	julio@directproduce.com	213-624-1727	213-624-0711
DIVERSIFIED CITRUS MKTING	Lake Hamilton, Florida	sales@diversifiedcitrus.com	863-439-1600	863-439-1917
DIVINE FLAVOR, LLC.	Rio Rico, Arizona	N/A	619-710-2020	520-281-8464
DIVINE RIPE, LLC	Pharr, Texas	claudia_carter00@hotmail.com	956-631-0101	956-631-0505
DIXIE GROWERS, INC.	Plant City, Florida	george@dixiegrowers.com	813-754-7652	813-754-5896
DIXON TOM-A-TOE	Grand Prairie, Texas	gmeyer@freshexpress.com	972-595-3600	972-595-3600
DLF INTERNATIONAL, INC.	Vero Beach, Florida	sales@dlfintl.com	772-778-2550	772-778-2493
DNE WORLD FRUIT SALES	Fort Pierce, Florida	mark@dneworld.com	772-489-7230	772-465-1181
DOLE BERRY CO.	Monterey, California	N/A	831-641-4364	831-641-4363
DOLE FRESH FRUIT	Westlake Village, California	Brennon.Neff@dole.com	818.874.4645	818-874-4586
DOLE FRESH VEGETABLES	Monterey, California	rick.bravo@dole.com	831-641-4285	831-641-4280
DOMEX SUPERFRESH GROWERS	Yakima, Washington	timlane@superfreshgrowers.com	509-966-1814	509-966-3608
DONIO, FRANK, INC.	Hammonton, Nueva Jersey	dave@donio.com	609-561-2466	609-561-1634
DONOVAN PRODUCE COMPANY	Spreckels, California	mrveg@aol.com	831-770-1123	831-770-1823
DOUBLE D FARMS	Magnolia, Arkansas	cadmsd@magnolia.net.com	870-234-6210	N/A
DOUBLE DIAMOND ACRES	Kingsville, California	chris@doublediamondacres.com	519-326-1000	519-326-4557
DOUBLE E, INC. / EDWARDS	N/A	bill.edwards@lmcompanies.com	956-843-2716	956-843-8122
DOUBLE GREEN PRODUCE	Brooklyn, Nueva York	doublegreen328@yahoo.com	718-384-6616	718-384-4234
DOUBLE J PRODUCE	San Juan, Texas	N/A	956-702-3388	956-702-3380
DOUBLE V INTERNATIONAL	Nueva York, Nueva York	N/A	212-757-4185	212-757-4187
DOVEX MARKETING COMPANY	Wenatchee, Washington	Odilon.4@netzero.net	509-662-8520	509-662-3089
DOYEN, WILLARD C., & SONS	Mapleton, Maine	wcdoyen@ainop.com	207-769-3561	207-768-5306
DRAGONBERRY PRODUCE	Portland, Oregón	amy@dragonberryproduce.com	503-655-2490	503-655-7346
DREW, DAVID TRANSPORTATION	Salinas, California	dispatch@daviddrewtransportation.com	831-771-6982	831-771-0869
DRISCOLL STRAWBERRY ASSN.	Watsonville, California	USDA.Inspections@driscolls.com	831-763-5000	831-761-5988
DROBNICK DISTING. INC.	Salinas, California	freshdist@sbcglobal.net	831-659-4447	831-659-4411
DUBOIS & SON, LLC	Boynton Beach, Florida	duboisandson@yahoo.com	561-498-3353	561-498-8042
DUDA FARM FRESH FOODS	Oviedo, Florida	info@duda.com	407-365-2111	497-365-2147
DULCE FRESH, LLC.	Kingston, Massachusetts	krcmann@aol.com	781-585-1411	781-585-1415
DULCICH, JAKOV, AND	Delano, California	nick@dulcich.com	661-792-6360	661-792-6529
DULCINEA FARMS	Ladera Ranch, California	steve.dabich@dulcinea.com	407-365-2111	949-429-1200
DUNDEE CITRUS GROWERS	Dundee, Florida	sales@diversifiedcitrus.com	863-439-9465	863-439-1535
DURANT DISTRIBUTING, INC.	Santa Maria, California	tom@durantdistributing.com	805-349-2820	805-349-9401
DYNAMIC FOOD GROUP	Spreckels, California	jcarr@dynamicfoodgroup.com	831-455-0707	831-455-0808
DYNASTY FARMS, INC	Phoenix, Arizona	jeff@pim4u.com	602-252-4467	602-252-4495
DYNASTY PRODUCE & TRADING	Los Ángeles, California	dynastyproduce@worldnet.att.net	626-575-8839	626-575-0087
E FOODS, INC.	Casselberry, Florida	sales@efoodsinc.com	407-830-9498	407-831-0170
E J'S PRODUCE SALES	Phoenix, Arizona	johnm@ejsproducesales.com	866-357-7762	480-763-9549
E.A.T. FRESH PRODUCE	Pahokee, Florida	timeatfresh@yahoo.com	561-996-6336	561-996-6338
EAGLE EYE DISTRIBUTING	Iona, Idaho	lance@eagleeyeproduce.com	208-522-2343	208-522-2345
EAGLE FARMS, INC.	Iona, Idaho	N/A	208-523-0310	208-522-2345
EAGLE FRUIT TRADERS	Wilmington, Massachusetts	eaglefruit@netzero.com	978-657-8747	978-657-0282
EAGLE PROD., MARTORI FARMS	Scottsdale, Arizona	celsie@martorifarms.com	480-998-1444	480-483-6723
EAKLY FARMERS UNION	Eakly, Oklahoma	N/A	405-797-3224	405-797-3269
EAKIN FRUIT CO.	Union Gap, Washington	N/A	509-248-0803	509-248-9106
EARTHBOUND FARMS	San Juan Bautista, California	pmg@ebfarm.com	831-623-7878	831-623-2638
EAST COAST BROKERS	Plant City, Florida	grapetom@aol.com	863-425-3500	863-869-9850
EAST COAST FRUIT CO.	Jacksonville, Florida	jportnoy@eastcoastfruit.com	904-355-7591	904-791-9274
EAST WEST UNLIMITED	Coachella, California	rootationi@aol.com	760-398-8686	760-398-3302
EASTERDAY FARMS PROD.	Pasco, Washington	onions@easterdayfarms.com	509-544-9595	509-544-9004
EASTERN FRESH GROWERS	Cedarville, Nueva Jersey	info@jerseytomato.com	856-447-3563	856-447-3812
EASTON ENTERPRISES, INC.	Salinas, California	shari@greenetts.com	831-424-2843	831-424-3516
ECKEL MARKETING	Salinas, California	skip@eckelmarketing.com	831-755-1350	831-755-1357
ECLIPSE BERRY FARMS	Los Ángeles, California	rhearst@aol.com	310-207-7879	310-207-7868
ECLIPSE PRODUCE, INC.	Shorewood, Illinois	dkwasigroch@eclipseproduce.com	815-553-1500	815-553-1550
ECO FARMS AVOCADO	Temecula, California	staft@ecofarmsusa.com	951-676-4047	951-676-1676
ECO-FRUTAS	Mission, Texas	ecofrutas2@yahoo.com	956-928-0191	956-928-0193
EDEN VALLEY GROWERS	Eden, Nueva York	gbedenvalley@adelphia.net	716-992-9721	716-992-3882
EDINBURG CITRUS ASSOCIATION	Edinburg, Texas	Sales@TxCitrus.com	956-383-2743	956-383-2435
EL GALLO PRODUCE	Dallas, Texas	elgalloproduce@yahoo.com	214-428-5400	214-428-5402
EL ROSARIO PRODUCE	McAllen, Texas	elrosario@empaquedonjorge.com	956-867-8334	956-630-0479
ELC GENERAL PRODUCE	Hidalgo, Texas	elcgenpro@msn.com	956-683-0204	956-631-1990
EMERALD FRUIT & PRODUCE	Eugene, Oregón	chemeraldfruit@qwest.net	541-342-2136	541-345-4744
ELLIS, N. N., PRODUCE	Faison, Carolina del Norte	N/A	910-267-4671	910-267-1598
EMERALD PACKING CO.	Orlando, Florida	sdl5561@aol.com	407-425-5561	407-425-6426
EMPACADORA GAB, INC.	Hidalgo, Texas	egabmc@quik.com	956-686-2445	956-630-1043
ENGLAND, C. R., & SONS	Salt Lake City, Utah	N/A	801-972-2712	801-974-3342
EPICVEG, INC.	Lompoc, California	markc@epicveginc.com	N/A	N/A
ERCANBRACK, W.M., CO.	Orem, Utah	wmefruit@aol.com	801-225-3459	801-225-7395
ERIE-JAMES LIMITED	Leamington, Ontario, Canadá	mark@eriejames.com	519-326-4417	519-326-7461
E-SALES CO.	Nogales, Arizona	esold77@msn.com	520-761-3280	520-761-3617
ESTORMES, JACK, CO.	Tracy, California	jecorp2@aol.com	941-730-0312	813-436-5617
ESFORMES, JACK, CO.	Palmetto, Florida	jecorp2@aol.com	941-730-0312	813-436-5617
EUBANKS PRODUCE	Lucedale, Misisipi	allen@eubanksproduce.com	800-353-2589	601-947-9665
EUROFRESH FARMS	Wilcox, Arizona	m.cassius@eurofresh.com	520-384-4621	520-384-4187
EVANS FRUIT CO. / ELEVEN R	Cowiche, Washington	Kristina@evansfruitco.com	800-255-7513	509-678-5450
EVERGREEN FRESH FARMS	Los Ángeles, California	eric@evfarms.com	213-617-9885	213-617-0063
EVERKRISP VEGETABLES	Tolleson, Arizona	greg.ek@att.net	623-936-3321	623-936-1008
EVERSPRING ENTERPRISES	Irving, Texas	everspring-enterprises@yahoo.com	972-445-3322	972-438-1548
EWING'S FARMS, INC.	Becker, Minnesota	jveri@exeterproduce.com	519-235-2180	519-235-3515
EXETER PRODUCE & SALES	Exeter, Ontario, Canadá	jveri@exeterproduce.com	519-235-2180	519-235-3515
EXODUS INTERNATIONAL	Paso Robles, California	johna@exodusworldwide.com	805-239-0617	805-239-0619
EXPO FRESH, LLC	San Diego, California	bobs@expofresh.com	619-661-6550	619-661-6776
EXPORT FRESH COMPANY	Rio Rico, Arizona	efresh@qwest.net	520-377-9595	520-377-9695
EXSER	Santiago, Chile	exser@serv.cl	562 731-4600	562-208-3061
F & H COLD STORAGE	Reedley, California	gene@djforry.com	559-638-3050	559-638-5781
F.G.F. COMPANY	Overland Park, Kansas	dennisf@fgfcompany.com	800-888-0226	913-469-8075
F.P.D. INC.	Carson, California	fpdfruit@att.net	310-884-3000	310-884-3232
FABULOUS FRESH PRODUCE	Miami, Florida	fabiola@fabulousfreshproduce.com	305-545-2288	305-545-2296
FAGERBERG PRODUCE	Eaton, Colorado	alan@fagerbergproduce.com	970-834-1353	970-834-1434
FAMILY CHOICE	Chatham, Ontario, Canadá	kejay@ciaccess.com	519-380-9520	519-380-9921
FAMILY TREE FARMS	Reedley, California	dmarriott@familytreefarms.com	559-591-6280	559-595-7795
FANCHER CREEK PACKING	Orosi, California	fanchercreek@infostations.com	559-528-6618	559-528-6470
FAR SIDE FARMS	Santa Maria, California	sal@farsidefarms.com	805-739-8833	805-739-8844
FARM BOY INC.	Ottawa, Ontario, Canadá	imoyes@farmboy.ca	613-247-1007	613-247-8731
FARM FRESH DIRECT	Monte Vista, Colorado	lee@ffdllc.net	719-852-2600	719-852-3321
FARM PAK PRODUCTS	Spring Hope, Carolina del Norte	sales@farmpak.com	252-459-3101	252-459-9020
FARMER’S BEST INT’L.	Rio Rico, Arizona	syubeta@farmersbest.com.mx	520-281-1411	520-281-4163
FARMERS FRUIT EXPRESS	Capitola, California	olive@farmersfruit.com	831-462-2244	831-462-2552
FARMERS MARKETING	Edinburg, Texas	evasquez@tiagris.com	956-381-9811	956-381-1609
FARMERS MARKETING CO-OP	LaBelle, Florida	N/A	863-675-5739	561-258-0930
FARMERS MARKETING SER.	Linn, Texas	edward@farmersmarketingservice.com	956-381-9811	956-381-1609
FARMERS OWN ORGANICS	Seattle, Washington	dianed@triplebproduce.com	206-625-1412	206-682-4331
FARMERS POTATO DIST.	Jacksonville Beach, Florida	farmerspotato@yahoo.com	904-246-6487	904-241-3180
FARMING TECHNOLOGY	Houston, Texas	jpop@mtnking.com	800-395-2004	713-921-3565
FARMINGTON FRESH SALES	Stockton, California	george@farmfresh.com	209-926-3518	209-926-3588
FARM-WEY PRODUCE	Lakeland, Florida	cumbess@farmwey.com	863-646-0800	863-644-0123
FAZIO MARKETING	Fresno, California	jstover@faziomarketing.com	559-486-3030	559-486-7627
FEINN, NAT, & SON	Fresno, California	byrne@natfeinn.com	559-268-7848	559-268-0723
FIELD FRESH DISTRIBUTING	Watsonville, California	rrossi@fieldfreshproduce.com	831-722-1422	831-724-4729
FIERMAN, JOSEPH & SONS	Bronx, Nueva York	N/A	718-893-1640	718-328-3738
FIESTA FARMS, INC.	Nyssa, Oregón	fiestafarms@fiestafarmsinc.com	541-372-2248	541-372-2474
FILLMORE-PIRU CITRUS	Piru, California	citrus-lupe@fpcitrus.com	805-521-1781	805-521-0990
FINER, AL, CO.	Filadelfia, Pensilvania	alfinerco@aol.com	215-336-6789	215-271-7014
FIRST CHOICE PRODUCE	Elba, Nueva York	N/A	585-757-2322	585-757-2323
FIRSTFRUITS & VEGETABLES	Dillsburg, Pensilvania	firstfruits@pa.net	717-502-1700	717-502-1108
FIRSTFRUIT MARKETING LLC.	Yakima, Washington	timc@ffm-wa.com	N/A	N/A
FIRSTFRUIT SALES	Bowling Green, Florida	sharrison65@aol.com	863-375-4311	863-375-2221
FIRST FRUIT FARMS, INC.	Birmingham, Alabama	droper@firstfruitfarms.com	205-980-2330	205-980-2331
FIRST PICK, INC.	Nipomo, California	N/A	805-929-5761	805-929-1885
FISHER CAPESPAN U.S.A.	Gloucester City, Nueva Jersey	dcarapella@fishercapespan.com	856-742-5446	856-742-5448
FISHER CAPESPAN U.S.A.	Saint-Laurent, Quebec, Canadá	N/A	514-739-9181	514-737-3676
FISHER RANCH CORP.	Blythe, California	mfarrage@fisherranch.com	760-922-7138	760-922-3080
FIVE BROTHERS PRODUCE	Homestead, Florida	5bros@bellsouth.net	305-247-0900	305-245-0855
FIVE CROWNS MARKETING	Brawley, California	N/A	760-344-1930	760-344-5442
FIVE DIAMOND COLD STORAGE	Delano, California	N/A	661-725-7935	661-725-7930
FIVE POINTS MARKETING	Eastman, Georgia	N/A	478-374-7774	478-374-7798
FIVE STAR DE REYES, INC.	Fort Worth, Texas	fivestardereyes@sbcglobal.net	817-626-4602	817-626-6140
FIVE STAR DISTRIBUTORS	Rio Rico, Arizona	N/A	520-281-9159	520-281-9167
FIVE STAR PRODUCE	Austin, Texas	N/A	512-451-8757	512-929-9555
FLA. EUROPEAN EXP & IMP	Miami, Florida	florida.european@att.net	305-477-0991	305-477-0994
FLAMM ORCHARDS	Cobden, Illinois	N/A	618-893-4241	618-893-4323
FLAVOR 1ST GROWERS	Horse Shoe, Carolina del Norte	buyproduce@flavor1st.com	800-566-0096	828-890-1019
FLAVOR-PIC TOMATO CO.	N/A	dmartin@flavorpic.com	205-323-7306	205-323-2511
FLAVOUR PICT PRODUCE	N/A	msabelli@flavourpict.com	519-326-9201	519-326-0851
FLORIDA ELITE PRODUCE	Dover, Florida	don@fleliteproduce.com	813-707-0075	813-717-9189
FLORIDA FRESH, INC.	Florida City, Florida	eddie@floridafreshinternational.com	305-245-4489	305-246-3864
FLORIDA SPECIALTIES	Immokalee, Florida	chris@floridaspecialties.com	239-657-1409	239-657-1341
FLORIDA STAR SALES	Plant City, Florida	rbblanco@aol.com	813-659-3968	813-659-4705
FLORIDA VEGETABLE INC.	Homestead, Florida	flaveg@bellsouth.net	305-247-2131	305-248-9758
FLOWERS BROS. PROD.	Ty Ty, Georgia	bflowers2@yahoo.com	229-387-8212	229-387-8097
FONSECA, JOE F.	El Paso, Texas	joe@jfconsultantsllc.com	915-497-5982	915-990-2021
FOODSOURCE TEXAS	McAllen, Texas	lmoyer@foodsourcetx.com	956-292-7900	956-292-7980
FOODSOURCE, INC.	Monterey, California	mcastagnetto@buyfoodsource.com	831-647-3090	831-373-1381
FOODSOURCE, NOGALES	Nogales, Arizona	rod.sbragia@chrobinson.com	520-761-1348	520-761-2858
FORD, M. G., PRODUCE	LaBelle, Florida	N/A	863-675-3408	800-300-9047
FORD PRODUCE, MIKE	Terrell, Texas	lunkerhunter@msn.com	972-524-6500	972-551-0858
FORDEL, INC.	Mendota, California	gvasquez@fordelinc.com	559-655-3237	559-655-3895
FORREST TRANSPORTATION	Visalia, California	sales@forresttransportation.com	866-738-5880	559-622-1888
FORRY, D.J. CO.	Reedley, California	john@djforry.com	559-638-0124	559-638-8080
FORTUNE GROWERS	Las Vegas, Nevada	luis.solarte@fortunegrowers.com	702-506-3320	702.562-9720
FORTUNE PRODUCE, INC.	City of Industry, California	henryt@fortuneproduce.com	626-333-8891	626-333-8869
FOUR RIVERS PACKING	Weiser, Idaho	j.stewart@fourriversonion.com	208-549-8300	208-549-8290
FOUR SEASONS FOOD LTD.	Vancouver, Columbia Británica, Canadá	N/A	604-321-5515	604-325-3711
FOUR SEASONS PROD.	Ephrata, Pensilvania	wendellh@fsproduce.com	717-721-2800	717-721-2594
FOUR SEASONS TRADING	Donna, Texas	curtisd@fsproduce.com	956-580-3945	956-464-8680
FOUR STAR FRUIT	Delano, California	N/A	661-725-9621	661-725-9009
FOUR STAR SALES, INC.	Delano, California	srossi@fourstarfruit.com	661-725-9621	661-725-9009
FOWLER BROTHERS INC.	Wolcott, Nueva York	leepetters@fowlerfarms.com	315-594-8068	315-594-8060
FOWLER PACKING CO.	Fresno, California	justin@fowlerpacking.com	559-834-5911	559-834-3336
FOXY FDS / NUNES CO.	Gonzales, California	cjgiven@foxyproduce.com	831-675-1370	831-675-1345
FANCHER CREEK PACKING	Orosi, California	fanchercreek@infostations.com	559-528-6618	559-528-6470
FRANK'S DISTRIBUTING	Rio Rico, Arizona	mjmcgovern@franksdist.com	520-281-0896	520-281-2425
FRANSEN, GILBERT	La Jara, Colorado	fransenfarms@aol.com	719-589-4174	719-589-4179
FREDERICKSBURG PEACH CO.	Austin, Texas	N/A	N/A	N/A
FREIGHT OF ALL KINDS	Denver, Colorado	gettrucks@fakinc.com	303-289-5433	303-289-1674
FREITAS BROTHERS FARMS	Nipomo, California	tim@freitasfarms.com	805-343-3134	805-343-3135
FRENCHMAN VALLEY PRODUCE	Imperial, Nebraska	fvp@chase3000.com	308-882-4243	308-882-4915
FRESCO PRODUCE	Chula Vista, California	fresco-produce@sbcglobal.net	619-671-3737	619-671-0030
FRESH CHOICE PRODUCE	Wood Dale, Illinois	cory@freshchoiceproduce.com	847-961-6921	847-961-6951
FRESH CONNECTION, THE	Lafayette, California	tfc@thefreshconnection.com	925-299-9939	925-299-9986
FRESH CUT PRODUCE	Dallas, Texas	dcheckley@freshcutdallas.com	214-231-4100	214-231-4110
FRESH DIRECT, INC.	Tubac, Arizona	freshdirect@aol.com	520-287-0754	520-287-0780
FRESH DIRECTIONS INT'L.	Ventura, California	dustin@freshdirections.com	805-671-9944	805-671-9393
FRESH FARMS	Rio Rico, Arizona	rhernandez@freshfarms.com.mx	520-377-0878	520-377-0661
FRESH HARVEST INT'L.	Miami, Florida	sales@freshharvestintl.com	305-499-9870	305-499-9160
FRESH KING. INC.	Homestead, Florida	AlvaroP@FreshKing.com	305-248-7700	305-248-7003
